"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Test that lastname can be updated","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","56","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 21:29:32 UTC 2026","passed","Sun Mar 01 21:29:32 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","129","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 21:29:34 UTC 2026","passed","Sun Mar 01 21:29:34 UTC 2026","TestBooking","test_booking","",""
"","55","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 21:29:32 UTC 2026","passed","Sun Mar 01 21:29:32 UTC 2026","TestBooking","test_booking","",""
"","106","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","141","Test that a booking response has expected structure (fields and types)","tests","Sun Mar 01 21:29:32 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","70","Test that additionalneeds can be updated","tests","Sun Mar 01 21:29:34 UTC 2026","passed","Sun Mar 01 21:29:34 UTC 2026","TestBooking","test_booking","",""
"","67","Test that delete a booking returns status 201","tests","Sun Mar 01 21:29:34 UTC 2026","passed","Sun Mar 01 21:29:34 UTC 2026","TestBooking","test_booking","",""
"","81","Test that bookingdates can be updated","tests","Sun Mar 01 21:29:34 UTC 2026","passed","Sun Mar 01 21:29:34 UTC 2026","TestBooking","test_booking","",""
"","35","Test that create_new_booking returns status 200","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","66","Test that firstname can be updated","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","75","Test that totalprice can be updated","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","66","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","80","Test that depositpaid can be updated","tests","Sun Mar 01 21:29:33 UTC 2026","passed","Sun Mar 01 21:29:33 UTC 2026","TestBooking","test_booking","",""
"","51","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Sun Mar 01 21:29:32 UTC 2026","passed","Sun Mar 01 21:29:32 UTC 2026","TestBooking","test_booking","",""
